Pays,Budget Moy./Jour (EUR),Duree Moy. (jours),Preferences,Activites,Hotel 3*,Hotel 4*,Hotel 5*
Côte d'Ivoire,70,10,Plage,Culture,70,120,200
Afrique du Sud,80,14,Nature,Aventure,80,150,250
Seychelles,150,7,Plage,Détente,200,300,500
Comores,50,7,Plage,Plongée,60,100,150
Égypte,60,10,Culture,Histoire,70,120,200
Maroc,70,10,Culture,Détente,80,130,220
Turquie,80,10,Culture,Histoire,90,140,230
Algérie,50,7,Culture,Histoire,60,110,180
Botswana,100,10,Nature,Safari,120,200,350
Sénégal,60,10,Plage,Culture,70,120,200
Ghana,50,10,Culture,Plage,60,110,180
Cap-Vert,70,10,Plage,Détente,80,130,220
Kenya,90,14,Nature,Safari,100,170,300
Zimbabwe,80,10,Nature,Aventure,90,150,250
Tunisie,60,10,Plage,Histoire,70,120,200
Madagascar,70,10,Nature,Plongée,80,130,220
Angola,80,10,Nature,Culture,90,150,250
